Recipient Primary Major,Recipient Secondary Majors,Recipient Graduation Date,Recipient Education Level,Recipient Primary College,Recipient Gender,Recipient Ethnicity,Recipient Visa Status,Recipient Veteran Status,Recipient First Generation,Recipient Athlete Status,Recipient Hometown,Recipient Graduation Group Name,Response Primary Major,Response Secondary Majors,Response Education Level,Response Graduation Date,Response Primary College,Response Status,Response Date,Outcome,Employer Name,Employer Industry,Employment Category,Employment Type,Job Function,Job Position,Found through Handshake,Employed During Education,Internship,Continuing Education School,Continuing Education Level,Continuing Education Major,Is Fellowship?,Fellowship Name,Military Branch,Military Rank,Specialization,Still Looking Option,Not Seeking Option,Location,Offer Date,Accept Date,Start Date,Annual Salary,Pay Schedule,Bonus Amount,Other Compensation,Authorized to work in US?,Knowledge Response?,Knowledge Source,How many additional offers did you receive?,In how many different positions will you be employed?,Which of the following best describes your primary position?,Which of the following best describes your view of your primary position?,How related is this position to your degree? ,Which of the following helped you find and/or obtain this position?  (Please select ALL that apply),How many additional organizations did you volunteer with during your time at Belmont?,Did you look for full time employment before deciding to go to graduate school?,Indicate how the university you will be/are attending ranks in regard to your choice:,What type of degree or continue education credit do you plan on earning?,Which of the following best describes this position?,What types of opportunities are you looking for?,How many times did you use the services or resources of your career development office?,How many times did you use the services or resources of your career development office?,"While studying for your degree, did you do any of the following? (Please select ALL that apply)",How likely would you recommend using the services and resources available through your Career Development office to a future student?
Accounting,,5/1/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-06-27 18:22:18 UTC,Working,Caterpillar Financial,Commercial Banking & Credit,Organization,Full-Time,Other,Financial Foundation Program,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",6/21/2019,6/21/2019,7/8/2019,64356,Annual Salary,,,,,Survey Response,0,Only 1 position,New position and a new employer / organization since graduation,This is a professional position that aligns with my long term career goals,2,"Having an internship or experiential education experience with this organization during my time at Belmont, An event, service, or direct connection supported by Belmont's Career Development Team",,,,,,,,,Part-time job,4
Accounting,,5/6/2019,Bachelors,College of Business,Female,White/Caucasian,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-04-23 19:41:07 UTC,Continuing Education,,,,,,,,,,University of Tennessee,Masters,Accountancy-MACC,,,,,,,,"Knoxville, Tennessee, United States of America",,,,,,,,,,Survey Response,,,,,,,,No,First choice,"Other Master's Degree (M.S.W., M.S.O.T., M.S.E., M.S.N., M.A.T., M.Ed., M.Acc., or M.F.A.)",,,,,,5
Accounting,,5/14/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-04-22 19:27:05 UTC,Continuing Education,,,,,,,,,,Belmont University,Masters,MACC,,,,,,,,"Nashville, Tennessee, United States of America",,,,,,,,,,Survey Response,,,,,,,,,Second choice,,,,,,,5
Accounting,,5/23/2019,Bachelors,College of Business,Male,White/Caucasian,U.S. Citizen,Yes,,,"Estill Springs, Tennessee, United States",,Accounting,,Bachelors,5/1/2019,,submitted,2019-04-23 17:54:01 UTC,Continuing Education,,,,,,,,,,Belmont University,Masters,Accelerated MBA,,,,,,,,"Nashville, Tennessee, United States of America",,,,,,,,,,Survey Response,,,,,,,,No,First choice,Master of Business Administration (M.B.A),,,,,,5
Accounting,,12/1/2018,Masters,College of Business,Female,White/Caucasian,U.S. Citizen,,,,,,Accounting,,Masters,12/1/2018,,submitted,2019-12-12 16:57:14 UTC,Not Seeking,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,Survey Response,,,,,,,,,,,,,,,,
Accounting,,5/1/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-04-24 18:22:35 UTC,Still Looking,,,,,,,,,,,,,,,,,,Employment,,,,,,,,,,,,Survey Response,,,,,,,,,,,,An entry level Tax Accounting position,,,,5
Accounting,,5/1/2019,Masters,College of Business,,,Student (F-1) Visa,,,,,,Accounting,,Masters,5/1/2019,,submitted,2019-12-30 14:51:32 UTC,Still Looking,,,,,,,,,,,,,,,,,,Employment,,,,,,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Accounting,,5/6/2017,Masters,College of Business,,,,,,,,,Accounting,,Masters,5/1/2019,,submitted,2019-12-11 21:31:09 UTC,Working,EY,Accounting,Organization,Full-Time,Accounting,FSO Tax Staff,Yes,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,7/1/2019,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Accounting,,1/1/2018,Masters,College of Business,Female,White/Caucasian,U.S. Citizen,,,,"Church Hill, Tennessee, United States",,Accounting,,Masters,10/8/2018,,submitted,2018-12-07 15:16:21 UTC,Working,Silicon Ranch Corporation,,Organization,Full-Time,,Staff Accountant,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",5/1/2018,5/1/2018,5/1/2018,,,,,,Yes,LinkedIn,,,,,,,,,,,,,,,,
Accounting,,8/6/2018,Masters,College of Business,,,,,,,,,Accounting,,Masters,10/1/2018,,submitted,2019-12-11 22:15:30 UTC,Working,American Blue Ribbon Holdings,Restaurants & Food Service,Organization,Full-Time,Accounting,Restaurant Accountant,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,5/1/2019,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
